Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
3972,161.163,161.163,19.0484,8.70937,-14.2783
2116,68.3645,68.3645,-37.6168,-28.6706,6.48475
1092,39.9273,39.9273,-65.5584,-6.05708,13.3272
324,44.6354,44.6354,-80.2922,3.11873,11.3963
4420,121.646,121.646,34.1078,0.563264,13.2702
1348,114.301,114.301,-57.1609,15.0919,-8.92046
836,563.788,563.788,-69.3217,-20.9784,-6.27471
196,7.71196,7.71196,-79.7351,-12.3718,37.0477
2244,89.8479,89.8479,-35.7487,-16.4772,-0.551046
2756,55.4328,55.4328,-23.9785,4.53278,3.78599
1732,2.83828,2.83828,-47.458,29.3257,23.2283
4548,26.8247,26.8247,37.3488,-16.0264,-8.96974
1476,102.186,102.186,-55.1573,-0.16615,-10.0131
3524,42.5733,42.5733,-1.45288,-29.0059,-10.9256
964,173.287,173.287,-68.013,15.7083,6.28766
4036,199.051,199.051,22.0898,-3.46694,12.252
1060,0.457986,0.457986,-67.9241,23.5284,10.4382
4388,136.499,136.499,32.7685,15.6028,-8.48347
1828,95.4032,95.4032,-46.6733,-28.0094,18.4496
1188,272.071,272.071,-61.1609,7.07336,-4.26842
3236,85.7568,85.7568,-11.3787,14.2368,-12.6442
4516,60.5156,60.5156,39.8723,-7.90501,8.11471
3492,110.433,110.433,-1.65674,-16.0663,33.0991
932,118.213,118.213,-69.4848,11.9825,17.0711
2980,80.2998,80.2998,-18.3263,-0.226661,17.3914
4004,225.51,225.51,22.0351,-10.378,8.47642
1124,158.942,158.942,-64.7074,24.11,18.3925
612,30.7108,30.7108,-75.0871,28.3152,9.42975
2660,90.2601,90.2601,-25.0639,17.5905,18.1333
3684,331.597,331.597,8.88389,-3.27811,-2.43921
4452,58.3569,58.3569,34.0899,-6.49634,-9.60829
2404,31.1032,31.1032,-30.6203,28.9949,19.7182
3428,6.21891,6.21891,-2.74453,-29.5463,-5.5982
2916,145.156,145.156,-19.2492,-26.6427,12.9554
1252,55.4063,55.4063,-60.4762,28.9533,7.34969
3300,159.349,159.349,-7.3161,10.5666,-14.4863
3812,154.04,154.04,13.0048,21.018,-15.3187
1508,16.4931,16.4931,-56.2529,14.6602,27.2134
996,78.4936,78.4936,-68.0754,15.3538,13.6999
3044,43.812,43.812,-15.4399,-28.8334,33.1415
2020,251.37,251.37,-39.0768,26.5944,23.5416
3092,123.382,123.382,-13.2576,17.8892,0.445617
2580,49.4095,49.4095,-28.0339,-15.3451,-0.849895
4372,121.521,121.521,31.7207,-3.54416,2.72114
3348,0.378262,0.378262,-9.55352,23.4529,36.9635
788,9.431,9.431,-73.058,-17.1311,4.082
3220,73.616,73.616,-11.1388,7.44809,-12.9089
1684,165.274,165.274,-49.2356,-21.4188,36.1597
1428,33.5998,33.5998,-56.4636,12.4398,-7.5455
916,15.7851,15.7851,-70.3576,-3.0063,19.1855
1940,284.177,284.177,-42.4749,-2.22837,8.86586
3988,151.222,151.222,19.0098,9.57681,-3.18007
2132,104.195,104.195,-38.5793,-23.3071,0.310885
1108,24.5057,24.5057,-65.6354,-18.4417,10.8908
3156,103.984,103.984,-13.247,20.5105,-4.37083
596,127.148,127.148,-74.7736,-25.3932,25.2037
2388,377.888,377.888,-29.89,4.13088,33.9061
3924,180.6,180.6,18.3176,-2.48498,-4.58624
2260,65.1715,65.1715,-35.8744,-4.02064,6.92449
1236,251.381,251.381,-60.9049,23.5381,-8.89846
1748,61.1048,61.1048,-49.9978,21.9208,-6.8344
468,24.8992,24.8992,-79.405,-19.3144,10.9578
980,244.443,244.443,-66.7413,24.411,-10.1151
1076,516.9,516.9,-64.3922,-16.7894,33.7842
3124,151.513,151.513,-13.2592,13.5347,35.0756
4660,237.102,237.102,45.3175,6.62069,9.99193
1588,170.596,170.596,-53.1208,12.1839,22.788
308,168.847,168.847,-78.1999,-27.3151,28.6851
4404,226.575,226.575,34.762,4.72819,-2.71701
2356,94.2867,94.2867,-32.4689,-8.72612,1.19439
1332,446.091,446.091,-58.1402,21.9407,21.8501
820,160.965,160.965,-72.0391,-21.0399,17.6478
1844,265.418,265.418,-44.574,-27.3455,27.6416
3892,246.255,246.255,17.7192,-6.79164,-3.21348
4276,322.38,322.38,28.9256,-7.96146,22.5041
3252,0.5591,0.5591,-12.5317,5.5444,-8.13368
692,36.9836,36.9836,-72.6291,28.5252,24.1566
1716,984.616,984.616,-43.6552,9.9825,31.0511
3764,298.171,298.171,11.7031,-4.50814,-8.96826
4532,137.22,137.22,38.6697,-7.41426,-11.5692
948,241.187,241.187,-67.6718,-14.6393,-12.3988
2996,137.65,137.65,-17.3042,18.5004,-3.66533
1140,293.083,293.083,-63.3053,-3.93764,1.60074
628,16.287,16.287,-75.7536,-23.4109,12.6588
4468,401.853,401.853,36.0886,3.0463,24.4322
884,24.9575,24.9575,-70.7155,-4.66151,25.4654
2932,125.568,125.568,-18.5873,-22.064,11.7434
4340,407.78,407.78,33.7438,-16.7456,18.4769
756,17.8207,17.8207,-73.5941,-23.1326,5.41755
1780,269.968,269.968,-47.4205,21.4216,15.0635
500,307.84,307.84,-77.3764,17.8768,11.9926
4596,8.95824,8.95824,39.5604,-7.89611,-2.36298
1524,265.823,265.823,-54.2687,22.1503,-4.21897
3572,85.5353,85.5353,0.585554,24.0716,-6.09051
3060,269.732,269.732,-15.3237,-16.7803,34.3868
4084,186.621,186.621,21.8529,16.1896,5.74291
1036,2.93319,2.93319,-68.0508,28.208,10.3821
4620,133.051,133.051,41.3363,12.4818,2.83359
2572,168.164,168.164,-26.0483,2.94199,-1.51349
1548,442.389,442.389,-53.5678,1.38445,7.82397
3596,154.376,154.376,3.67628,17.1727,-18.8722
1292,353.421,353.421,-59.038,-7.44014,5.95538
780,32.4829,32.4829,-72.4683,-28.2595,21.1149
3852,401.212,401.212,15.8681,-12.3835,-9.12893
3212,68.4285,68.4285,-11.9028,-2.02515,-8.6024
652,11.5018,11.5018,-75.8778,3.36707,22.2891
2956,56.6596,56.6596,-17.9585,-4.59307,0.126746
3980,167.585,167.585,19.1692,5.77792,9.99442
2124,179.996,179.996,-38.6605,-22.7354,7.08983
3148,93.6816,93.6816,-13.3411,4.69282,-11.5499
588,357.329,357.329,-74.1731,-11.7877,36.0468
3660,232.587,232.587,6.52667,1.60115,-4.49459
332,117.532,117.532,-79.7445,6.71171,16.9695
4428,154.829,154.829,34.6758,2.38186,-15.4217
2380,125.345,125.345,-32.2766,8.03358,1.6135
3404,59.862,59.862,-5.68779,4.86662,-12.58
1228,76.8926,76.8926,-62.5761,-26.7811,7.16288
716,4.10514,4.10514,-74.6186,-13.7606,25.5295
2764,441.769,441.769,-16.4973,-23.419,31.8664
460,93.8415,93.8415,-78.9251,12.8899,4.6729
4556,143.78,143.78,38.9637,12.7636,17.2961
2508,212.969,212.969,-28.8996,5.44246,5.01767
1484,435.253,435.253,-55.199,22.2187,16.9533
972,48.6338,48.6338,-68.4216,3.59386,17.0771
1996,190.055,190.055,-41.6301,-7.56281,7.57668
4044,88.5654,88.5654,21.5756,-4.88224,5.79322
2092,397.837,397.837,-38.6343,13.2586,21.3891
1068,32.4115,32.4115,-66.6469,12.2069,16.9612
3116,13.579,13.579,-15.508,6.3493,-1.1329
2604,358.459,358.459,-25.3886,20.2549,28.2677
4396,14.5009,14.5009,31.0403,4.25901,-6.72414
2860,142.308,142.308,-21.0379,9.9337,20.2352
172,55.033,55.033,-80.2168,0.654594,20.7027
684,31.1165,31.1165,-74.644,24.7408,22.8776
4524,134.351,134.351,38.4227,6.95014,-9.74389
2476,12.8582,12.8582,-30.5633,-1.16034,-8.07586
1452,197.532,197.532,-55.1601,-6.7903,-12.435
3500,151.229,151.229,-0.620515,10.0757,-10.2454
940,7.17688,7.17688,-69.3768,-11.4408,25.4895
1964,205.317,205.317,-43.375,-14.5439,3.59034
4012,138.801,138.801,21.3846,-7.8284,11.1768
4204,210.493,210.493,25.8356,12.4821,-0.696131
3180,82.3124,82.3124,-12.5335,2.87191,-15.1261
876,447.502,447.502,-69.5934,-3.8872,11.7553
2924,67.8811,67.8811,-20.3798,2.17632,1.44963
2284,19.3053,19.3053,-34.252,-9.52155,9.8732
1260,196.34,196.34,-59.7891,21.7796,-4.29862
748,4.19446,4.19446,-73.7969,29.2421,6.18615
1772,622.565,622.565,-45.9512,18.3679,31.8961
3820,194.406,194.406,14.9412,-1.35773,7.95033
492,2.09773,2.09773,-79.0726,29.2493,5.32701
2540,2.07377,2.07377,-30.0441,15.9076,36.9965
1516,213.291,213.291,-54.1451,-22.2449,-10.59
1004,7.30005,7.30005,-68.9663,-12.9963,25.5049
4076,84.2158,84.2158,21.9823,1.26999,-2.58115
2076,66.1139,66.1139,-40.9932,-8.08384,-1.78467
1052,407.534,407.534,-63.8467,24.7669,-0.0456736
540,457.167,457.167,-73.4016,11.8301,-7.92508
2588,95.4669,95.4669,-27.0475,20.6576,17.0076
3612,113.099,113.099,4.60919,11.196,-18.5185
1820,325.163,325.163,-46.6211,10.6828,11.1814
3868,189.206,189.206,15.0167,15.5733,-18.0735
156,114.397,114.397,-79.2586,22.6855,-11.117
1180,266.711,266.711,-62.3106,-12.2423,1.71406
3740,314.736,314.736,10.3996,1.22079,-11.6543
412,103.013,103.013,-79.6292,-9.42663,20.5974
4188,44.8192,44.8192,26.2284,-1.42919,-0.409854
604,58.8479,58.8479,-74.9769,26.8085,5.71681
2396,107.786,107.786,-31.3687,-1.77287,4.14415
1372,714.726,714.726,-57.2824,-1.52723,11.3432
860,8.07996,8.07996,-70.9218,28.8949,17.0074
220,7.34741,7.34741,-80.3279,-27.3429,18.7122
2268,64.5668,64.5668,-35.0614,3.61816,-2.42471
2780,68.8109,68.8109,-23.0925,7.64546,-12.9768
1756,113.355,113.355,-48.9876,19.187,-4.24379
4156,201.63,201.63,25.4592,19.382,2.38192
1084,11.1285,11.1285,-66.1684,-2.44279,10.0465
3132,134.443,134.443,-13.3651,17.0716,-8.60461
1596,271.598,271.598,-50.9582,26.1223,29.687
3644,172.683,172.683,5.85589,6.16563,1.95068
2876,165.801,165.801,-19.5718,-27.0276,29.9915
1852,569.023,569.023,-44.9203,-23.022,9.95846
3900,140.484,140.484,17.1165,-2.79832,0.537798
4284,250.175,250.175,30.2395,-1.26291,-17.2701
2236,193.765,193.765,-34.9944,-25.3583,6.69619
1212,237.232,237.232,-62.2373,0.434833,12.8672
700,226.565,226.565,-72.7147,18.2466,35.1305
3772,120.428,120.428,12.9283,13.1621,-5.56945
3516,96.1087,96.1087,-0.437224,-11.2692,35.7769
956,207.933,207.933,-69.0208,-19.9034,19.3014
3004,5.74252,5.74252,-18.3062,27.9591,36.9445
1148,212.138,212.138,-63.5519,9.73071,29.1037
3196,196.267,196.267,-9.99831,10.4011,-9.68126
2300,70.1629,70.1629,-34.6891,-21.1686,0.285353
1276,444.837,444.837,-59.9407,18.7301,11.691
3324,150.966,150.966,-6.55409,16.6477,-14.2699
764,5.51458,5.51458,-72.2329,-29.2213,1.16644
4604,231.141,231.141,43.9523,-7.07547,0.467772
1020,160.912,160.912,-66.7813,4.81646,13.3714
3068,127.899,127.899,-15.8603,16.1678,26.4441
4092,250.779,250.779,22.8638,10.4987,1.67357
2050,127.349,127.349,-38.5749,-16.7465,36.1859
1538,120.413,120.413,-53.9796,-15.5217,-7.74675
4354,65.5873,65.5873,31.2549,7.10258,-3.369
1282,29.1281,29.1281,-60.5254,28.8419,12.5673
3330,99.9935,99.9935,-6.25544,13.9439,-7.05483
2818,5.65083,5.65083,-24.0507,11.9501,36.4271
642,174.764,174.764,-71.8155,27.989,-1.26019
2690,141.675,141.675,-23.6873,2.06765,0.445689
1666,46.6305,46.6305,-51.7805,12.4388,-9.75164
4482,242.143,242.143,37.1987,-1.9344,20.2885
1410,113.322,113.322,-58.1451,24.3105,29.0885
898,291.232,291.232,-69.8388,-21.4664,5.38459
3138,62.6438,62.6438,-14.2173,-13.4795,19.771
4674,106.118,106.118,44.9252,-11.8386,14.3529
