Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
206,209.4,209.4,-43.4461,-28.3582,-28.2094
2254,220.222,220.222,46.5952,-20.1386,-19.9147
1230,134.53,134.53,2.28888,-40.4923,4.03398
718,261.32,261.32,-19.7575,33.9174,2.63682
2766,60.4477,60.4477,63.2718,-32.9372,6.38102
1742,48.3794,48.3794,21.198,-2.41177,-34.0394
462,98.8017,98.8017,-31.7565,30.443,0.670683
2510,20.8285,20.8285,53.2981,-49.2303,13.985
1486,246.451,246.451,16.7762,-0.706735,-27.6644
974,273.542,273.542,-6.66695,-26.7665,-25.234
1998,3.83496,3.83496,31.4686,-63.3536,10.2646
46,111.56,111.56,-61.9249,-46.5144,-30.3348
2094,238.281,238.281,39.7685,-4.61349,-18.4179
1070,97.5963,97.5963,-6.45645,-44.4518,-5.18715
558,103.594,103.594,-26.814,-51.9392,4.21503
2606,149.84,149.84,58.7609,-12.6022,-1.22958
1582,44.2873,44.2873,15.1639,-60.0673,8.00328
302,150.618,150.618,-38.4434,-51.2032,-10.574
2350,48.5237,48.5237,47.993,24.3651,-34.8825
1326,291.587,291.587,8.13231,-35.5988,-11.3522
814,125.037,125.037,-15.1064,-34.5453,-34.5133
1838,148.487,148.487,25.9705,-53.9919,5.3946
174,59.2693,59.2693,-49.7813,-49.8411,-30.8621
2222,245.543,245.543,43.8782,-35.6386,-15.534
1198,141.765,141.765,0.605755,0.613204,-25.2821
686,136.083,136.083,-22.0888,-26.7257,-15.9644
2734,138.762,138.762,62.8294,-41.6761,-8.16147
1710,236.433,236.433,25.6393,-3.99266,-31.844
430,159.884,159.884,-32.1612,-46.3731,-11.5653
2478,129.762,129.762,54.6768,-50.6387,16.6305
1454,203.319,203.319,11.5709,-33.6822,0.736648
1966,234.871,234.871,38.2404,-62.6038,-33.7633
110,149.923,149.923,-56.3455,-38.7613,-17.5816
2158,323.55,323.55,41.9335,-27.4098,-8.28886
1134,10.9826,10.9826,-4.63378,-5.90219,28.1414
622,39.0761,39.0761,-25.685,-63.222,13.1688
2670,145.422,145.422,61.7414,-51.5504,0.244215
366,181.911,181.911,-34.8151,-52.41,-7.44551
2414,142.935,142.935,50.6786,-10.2081,-8.94466
1390,154.018,154.018,9.967,-28.9098,-6.37219
1902,76.498,76.498,29.1562,-51.219,0.876893
238,144.73,144.73,-42.1096,-37.2629,-16.38
2286,195.262,195.262,47.1601,-9.47652,-15.0585
1262,121.841,121.841,2.62418,0.335173,14.3663
2798,59.7189,59.7189,63.665,-53.3055,33.8758
1774,39.0981,39.0981,22.1663,-49.1666,-0.960344
494,37.5708,37.5708,-30.3646,-7.77442,-34.3572
