Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
3529,117.369,117.369,-2.42389,-3.44931,-3.5427
3017,305.635,305.635,-14.4563,10.3866,15.0157
4137,116.657,116.657,16.8412,35.3843,9.45133
2601,87.9009,87.9009,-28.9424,-18.4814,0.609193
3625,110.374,110.374,0.825454,9.9766,-5.14843
1833,145.966,145.966,-46.917,-13.4525,-17.4284
2217,115.174,115.174,-38.3387,-33.5859,-8.03275
3689,295.149,295.149,3.30047,-9.41793,2.31237
2409,114.552,114.552,-32.5157,4.9994,3.3197
3817,148.94,148.94,6.09659,8.51794,10.9291
3609,193.015,193.015,0.886999,7.43867,-10.7189
2329,172.632,172.632,-36.6119,-29.1489,-15.8629
2457,141.184,141.184,-30.594,6.92489,17.8299
3481,120.129,120.129,-2.99678,9.7957,-7.13779
1945,85.6562,85.6562,-44.9205,-3.87123,8.25827
3993,81.0116,81.0116,11.8124,33.9063,14.7414
3161,152.944,152.944,-13.1886,26.2009,11.9949
3417,113.302,113.302,-6.93158,19.6397,2.85606
2265,88.9922,88.9922,-36.9302,-20.1681,4.48528
3129,223.98,223.98,-13.2531,1.27414,15.0371
1849,86.6717,86.6717,-47.2317,-29.5951,-5.05151
2745,97.1245,97.1245,-24.4717,-10.3917,13.4731
3769,104.271,104.271,4.53772,-1.29151,-3.25377
2425,176.909,176.909,-32.2802,-11.1473,12.4391
3449,92.7219,92.7219,-6.20567,24.55,1.2831
3321,132.106,132.106,-8.66227,15.6182,-6.89684
3577,96.8804,96.8804,-1.70884,15.0913,-1.41172
3205,261.44,261.44,-9.01346,-5.59036,12.2246
3461,221.448,221.448,-2.90262,32.161,-3.70209
3973,296.788,296.788,12.56,-3.92963,0.292633
2373,101.857,101.857,-34.1873,-26.417,-8.84108
2245,117.312,117.312,-36.658,2.38472,2.78122
2501,143.821,143.821,-30.6796,-12.4962,-9.10428
3109,189.161,189.161,-12.9055,-3.183,8.92048
2597,155.923,155.923,-27.103,-0.947339,16.3275
1573,124.305,124.305,-54.8545,-19.9762,-17.244
3877,269.044,269.044,9.51129,-0.58069,-9.20772
2725,139.758,139.758,-25.3034,-12.5161,7.65793
4005,305.955,305.955,16.0036,12.8672,-13.4287
4197,186.854,186.854,20.5643,24.2263,-1.89956
3173,318.069,318.069,-11.5219,30.235,1.68546
3429,194.27,194.27,-3.72828,14.8176,21.0328
3941,126.042,126.042,10.5639,24.7128,10.6289
3813,107.144,107.144,5.9162,14.5005,-3.29922
2197,103.349,103.349,-38.3347,-11.9353,-12.3572
3477,159.006,159.006,-3.0068,0.250623,-7.07463
