Label,Value,Volume (µm³),Center_X,Center_Y,Center_Z
826,479.691,479.691,7.77326,21.3939,-13.5912
698,269.045,269.045,-0.639205,14.8129,-18.3637
442,4.54668,4.54668,-21.0843,12.6772,8.31536
954,81.0016,81.0016,15.9785,-2.24368,-10.4358
634,205.049,205.049,-5.84231,-7.34815,10.9723
890,133.798,133.798,11.6361,14.0627,-3.55476
762,99.9576,99.9576,1.19314,8.97991,-3.19793
506,105.11,105.11,-14.1279,14.8316,5.14359
1018,58.7349,58.7349,21.8412,-7.58217,4.27563
1030,112.312,112.312,22.7991,-20.1386,0.499642
518,235.549,235.549,-13.1433,-5.08049,-1.59914
774,314.861,314.861,4.64319,13.7212,-9.26748
902,445.729,445.729,14.9324,-2.24715,17.1724
1094,92.6793,92.6793,30.7825,-13.9742,-7.00439
838,484.742,484.742,12.0245,-18.9211,23.8275
710,245.127,245.127,0.381464,9.98613,-22.1584
966,123.801,123.801,16.9637,-14.1731,12.6218
1062,171.026,171.026,26.9085,-15.0531,0.195737
550,274.116,274.116,-11.508,-9.53836,-11.285
806,140.119,140.119,6.66583,1.85361,16.7384
614,344.346,344.346,-5.16897,2.42445,-13.9021
358,99.5369,99.5369,-26.9396,4.5673,-4.22102
870,187.025,187.025,12.2755,-2.63171,-19.7083
742,63.5091,63.5091,0.786239,1.04235,-8.97243
486,14.1063,14.1063,-16.864,8.99648,6.15196
998,77.5511,77.5511,18.9029,-3.5042,-11.4657
1046,104.763,104.763,25.2237,-11.0703,11.9747
790,261.465,261.465,5.67128,-16.911,-0.276845
918,63.849,63.849,13.8354,-17.6502,11.2725
854,173.429,173.429,8.25518,10.958,-1.66329
982,76.0212,76.0212,16.9304,-2.13184,3.33018
1078,243.549,243.549,28.1999,0.224231,12.1807
822,130.052,130.052,6.96585,-5.70448,14.8918
694,247.593,247.593,-1.58829,1.01211,20.69
950,393.011,393.011,18.4717,6.0649,-19.6422
630,161.425,161.425,-5.58013,-3.53104,1.90974
374,231.947,231.947,-25.7558,20.3141,-1.85348
886,500.714,500.714,14.6416,13.1955,-10.6086
758,102.285,102.285,2.95089,10.4894,21.8783
502,155.01,155.01,-15.3075,-6.85347,12.2334
1014,331.213,331.213,21.4338,18.7759,0.840544
526,117.258,117.258,-13.7557,0.635958,12.5861
782,156.531,156.531,4.61533,4.14883,-3.03208
654,110.405,110.405,-5.53093,8.24571,-1.17959
910,1125.67,1125.67,14.6403,-10.922,-5.16473
1102,196.805,196.805,38.7952,5.09436,1.33821
846,90.0203,90.0203,8.17149,1.48996,-4.27328
718,175.156,175.156,1.01004,-22.1677,13.4989
462,127.876,127.876,-17.2723,15.3689,-1.00096
974,297.228,297.228,19.5449,0.288985,-12.567
1070,183.475,183.475,27.9098,-0.963923,5.39008
558,126.619,126.619,-11.2384,5.03953,17.9204
814,85.678,85.678,5.6075,-10.0697,1.72831
686,441.495,441.495,-0.825813,-18.8924,15.1532
430,128.782,128.782,-20.0099,14.647,-6.15436
878,261.382,261.382,12.0578,22.5641,5.00152
750,462.846,462.846,3.38467,22.8606,-8.43285
494,257.153,257.153,-15.1152,-11.6917,-2.39689
1006,78.4093,78.4093,18.6917,9.80926,10.185
1054,280.14,280.14,25.5388,8.3633,-14.1518
542,216.642,216.642,-11.4469,8.27611,12.4466
798,56.5779,56.5779,4.51562,8.89012,-0.849557
670,249.009,249.009,-4.41777,-14.6914,17.3143
926,105.005,105.005,14.3058,-4.255,3.01759
606,61.3778,61.3778,-8.88449,9.82267,-1.23737
862,37.4754,37.4754,8.17415,-7.19078,8.09398
734,177.151,177.151,-0.0332631,-15.3664,-8.14673
478,100.774,100.774,-16.5944,7.94435,10.8309
990,145.567,145.567,20.2082,3.90425,7.64579
1086,139.279,139.279,29.5406,-9.91427,-5.24574
574,145.726,145.726,-11.2506,-2.96086,-8.63215
830,450.268,450.268,8.50929,3.73499,25.8139
702,151.617,151.617,-1.03195,-6.32321,13.6221
446,211.966,211.966,-18.1742,3.02383,-3.13727
958,412.788,412.788,19.3424,-9.01422,18.3448
894,148.626,148.626,11.6216,4.3331,15.9065
766,453.703,453.703,5.42144,6.06343,-17.5319
1022,247.159,247.159,22.3317,-2.08505,5.02439
1025,117.377,117.377,22.1151,6.8079,12.6087
513,233.999,233.999,-12.8315,12.7033,-10.1766
385,186.286,186.286,-22.7111,3.89552,5.67578
897,3.77015,3.77015,9.9693,-5.07932,19.069
1089,157.919,157.919,30.4869,-18.24,-4.39751
833,231.677,231.677,7.57175,9.37304,12.371
449,227.459,227.459,-18.6255,-9.72501,-0.426095
961,342.956,342.956,19.5859,11.7985,-2.96566
1057,202.827,202.827,25.5696,-11.7308,18.0275
801,53.5252,53.5252,3.73786,-13.2593,8.34628
673,302.965,302.965,-3.41769,-3.14113,-9.26773
929,68.68,68.68,14.298,-7.57576,1.17533
865,76.0142,76.0142,8.21684,-12.6417,-7.98221
993,28.1834,28.1834,17.3745,-8.79567,6.71456
1041,64.4539,64.4539,22.1096,-3.93969,-10.9299
529,93.6529,93.6529,-13.1163,14.7645,10.2683
785,268.725,268.725,5.36665,-4.13953,26.2881
913,113.329,113.329,13.208,6.23731,-5.5609
593,103.667,103.667,-9.15285,-7.53688,0.616986
849,330.809,330.809,9.96088,22.5394,8.50161
465,210.788,210.788,-16.1371,3.01011,3.87165
977,115.929,115.929,18.654,-22.9933,-3.32135
1073,435.546,435.546,28.4392,6.72015,4.19267
817,102.998,102.998,6.46187,7.94929,-10.0472
689,340.502,340.502,-1.15441,22.2554,-6.32736
945,311.007,311.007,15.704,13.4859,20.6654
369,84.3199,84.3199,-26.2317,22.325,4.77583
881,54.2774,54.2774,10.2839,-11.0553,-12.3556
753,595.047,595.047,2.75384,-10.1571,23.9114
497,255.135,255.135,-15.2618,12.353,16.3439
