sample_name,cell_id,AP,PD,vol,AP_norm,PD_norm,vol_rescale,bin,bin_center,vol_pool_rescale
422,422,6.93283,21.8354,121.128,0.3018946717528,0.6099103377000642,0.8635839876208792,"(0.6, 0.8]",0.7,0.7411550100739225
422,334,12.095,25.5127,129.938,0.5266847816620508,0.7126253456607357,0.926395021658756,"(0.6, 0.8]",0.7,0.7950614201422077
422,430,15.2644,3.34665,65.9045,0.6646984027451185,0.09347923242367531,0.46986717284327517,"(-0.001, 0.2]",0.0995,0.40325482432977366
422,513,0.0,11.9178,244.08,0.0,0.3328901427334432,1.740172212027807,"(0.2, 0.4]",0.30000000000000004,1.493470666227817
422,449,6.40908,16.2902,79.2815,0.2790876312901709,0.4550208094745956,0.565238705456746,"(0.4, 0.6]",0.5,0.48510568102483065
422,361,6.54185,29.2592,191.779,0.2848691888314086,0.8172732605234491,1.367291407122586,"(0.8, 1.0]",0.9,1.173452601190202
422,345,21.7431,12.8986,125.505,0.9468176830224172,0.3602860255300131,0.8947898781979264,"(0.2, 0.4]",0.30000000000000004,0.7679368894006972
422,389,7.83313,23.4277,193.871,0.3410988312344324,0.6543867489734924,1.3822063541381635,"(0.6, 0.8]",0.7,1.1862530790406962
422,421,14.4986,7.28693,111.957,0.6313511347999512,0.2035398452557191,0.7981991983857636,"(0.2, 0.4]",0.30000000000000004,0.6850397221356428
422,405,11.7705,16.7477,88.6771,0.5125542143491665,0.46779978212899076,0.6322247839364594,"(0.4, 0.6]",0.5,0.5425952458872122
422,437,0.0,28.7682,486.943,0.0,0.8035585598167648,3.471667803349133,"(0.8, 1.0]",0.9,2.9794947829603893
422,451,18.0602,0.0,95.5439,0.7864433645120272,0.0,0.6811817429070942,"(-0.001, 0.2]",0.0995,0.584611651864159
422,371,17.722,12.4511,107.569,0.7717162216300012,0.3477863746822714,0.7669148831351162,"(0.2, 0.4]",0.30000000000000004,0.6581905362809737
422,443,7.09526,11.0641,205.501,0.3089677936283987,0.30904444009943854,1.4651226226807865,"(0.2, 0.4]",0.30000000000000004,1.2574144353510432
422,327,17.4283,19.7459,110.79,0.7589268607061365,0.5515460461998267,0.7898790534683741,"(0.4, 0.6]",0.5,0.6778991114035556
422,455,6.42361,15.536,116.369,0.27972034975875704,0.4339543588167928,0.8296546220151748,"(0.4, 0.6]",0.5,0.7120357585966275
422,423,12.1005,8.92446,117.295,0.5269242828029471,0.24927962906064074,0.8362565536291446,"(0.2, 0.4]",0.30000000000000004,0.7177017444902974
422,471,6.63829,5.27948,118.146,0.289068732472871,0.1474673891790732,0.8423237715594776,"(-0.001, 0.2]",0.0995,0.7229088222392317
424_A,4224,20.0317,19.226,82.257,0.7300847380410023,0.804408220645334,0.5328295870973184,"(0.8, 1.0]",0.9,0.5033120968203112
424_A,3856,0.0,23.0021,272.89,0.0,0.9623987481590573,1.7676777176773675,"(0.8, 1.0]",0.9,1.6697525815589518
424_A,3984,12.7377,11.9833,73.6417,0.46424419134396355,0.5013765229615745,0.4770229476414724,"(0.4, 0.6]",0.5,0.4505970122957597
424_A,3888,6.95825,11.8981,106.122,0.2536036446469248,0.49781178872673715,0.6874179880367826,"(0.4, 0.6]",0.5,0.6493366684752064
424_A,4272,25.441,9.8363,89.4971,0.9272346241457858,0.4115468938278216,0.57972820354994,"(0.4, 0.6]",0.5,0.5476126416029891
424_A,4136,9.09198,21.6411,127.779,0.331370569476082,0.9054550475297899,0.8277038040496036,"(0.8, 1.0]",0.9,0.7818509843490832
424_A,4280,15.2325,21.4155,92.8066,0.5551708428246014,0.8960160329361361,0.6011658868899424,"(0.8, 1.0]",0.9,0.5678627283363591
424_A,4004,6.89646,21.2488,225.51,0.2513516173120729,0.8890413710001338,1.4607680827931515,"(0.8, 1.0]",0.9,1.379845009591261
424_A,3684,0.0,5.79555,331.597,0.0,0.24248351519614408,2.147959354130463,"(0.2, 0.4]",0.30000000000000004,2.0289675209322575
424_A,3988,27.4375,0.0,151.222,1.0,0.0,0.9795586493554432,"(-0.001, 0.2]",0.0995,0.9252934328429324
424_A,3660,0.0,0.0,232.587,0.0,0.0,1.506610199426237,"(-0.001, 0.2]",0.0995,1.4231475821285204
424_A,4076,16.6389,10.6421,84.2159,0.6064291571753986,0.44526124648547327,0.5455185968857248,"(0.4, 0.6]",0.5,0.5152981656832809
424_A,4188,18.8328,14.5531,44.8192,0.6863890660592255,0.6088959365376891,0.2903217456269027,"(0.6, 0.8]",0.7,0.27423861227383556
424_A,3900,8.76745,8.013,140.484,0.31954259681093394,0.33526074441022896,0.9100019659576655,"(0.2, 0.4]",0.30000000000000004,0.8595900240673084
424_A,4038,27.281,0.0,211.425,0.9942961275626423,0.0,1.369530805305938,"(-0.001, 0.2]",0.0995,1.2936620600098994
424_A,3809,6.07471,0.0,133.428,0.2214017312072893,0.0,0.8642958793442626,"(-0.001, 0.2]",0.0995,0.8164159458105751
424_A,4177,24.7954,4.7391,140.342,0.9037047835990889,0.19828206587227204,0.9090821439198107,"(-0.001, 0.2]",0.0995,0.8587211579799423
424_A,3945,7.82992,14.9074,135.265,0.2853729384965832,0.6237197081269247,0.8761952672565103,"(0.6, 0.8]",0.7,0.8276561359689677
424_A,4101,15.7383,14.33,93.621,0.5736054669703873,0.5995615209532735,0.606441260605639,"(0.4, 0.6]",0.5,0.5728458589106623
424_A,4173,20.3477,9.72057,108.641,0.7416018223234624,0.4067047964921676,0.7037351127787274,"(0.4, 0.6]",0.5,0.6647498633630624
424_A,3965,0.0,23.9008,305.148,0.0,1.0,1.9766327831500363,"(0.8, 1.0]",0.9,1.8671320339974022
424_A,4131,20.8001,6.48087,111.088,0.7580902050113896,0.27115703240058914,0.7195858488817597,"(0.2, 0.4]",0.30000000000000004,0.679722506431972
424_A,3691,0.0,12.1296,206.188,0.0,0.5074976569821931,1.335607509445055,"(0.4, 0.6]",0.5,1.261618033956822
424_A,4135,12.778,19.4613,79.8024,0.4657129840546697,0.814253079394832,0.5169296210824008,"(0.8, 1.0]",0.9,0.4882929510594016
424_A,4119,15.4935,14.7391,120.007,0.5646833712984054,0.61667810282501,0.7773597415270177,"(0.6, 0.8]",0.7,0.7342958630039398
424_A,3735,0.0,17.9856,313.436,0.0,0.7525103762217165,2.0303192975848265,"(0.6, 0.8]",0.7,1.9178444433783268
424_B,4008,6.89666,22.3505,180.702,0.19832406893517412,0.764195424503626,1.1913043403294326,"(0.6, 0.8]",0.7,1.1056749276003728
424_B,3704,14.2813,0.0,98.7896,0.41068075353633526,0.0,0.6512848737668012,"(-0.001, 0.2]",0.0995,0.6044713607357405
424_B,3576,0.0,5.61147,335.593,0.0,0.19186415063373805,2.2124458914908263,"(-0.001, 0.2]",0.0995,2.053418146883775
424_B,4132,27.3769,12.1099,82.9791,0.7872648793519426,0.41405472679342564,0.5470518421856428,"(0.4, 0.6]",0.5,0.5077304644378263
424_B,3964,30.4182,0.0,142.682,0.8747221399465702,0.0,0.9406519346043989,"(-0.001, 0.2]",0.0995,0.8730390920956955
424_B,3580,0.0,0.0,262.241,0.0,0.0,1.728862112828473,"(-0.001, 0.2]",0.0995,1.6045937437817475
424_B,3690,6.59597,11.315,139.197,0.18967726536821308,0.386875963770767,0.9176765628539586,"(0.2, 0.4]",0.30000000000000004,0.851715160303644
424_B,4022,16.6285,13.6393,90.5286,0.478178100745657,0.4663470908226799,0.5968230241167617,"(0.4, 0.6]",0.5,0.5539241582869204
424_B,3886,6.49465,17.4063,137.99,0.18676365288557484,0.5951461854337695,0.909719238979416,"(0.4, 0.6]",0.5,0.8443297985610311
